id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd2205;[오희숙전통부각] 찹쌀연근부각 30g 3봉;건강한 간식이라 남녀노소 먹을 수 있어요;412;https://st1.random2u.com/api/product/info/2205;https://st1.random2u.com/uploads/2020/10/12/11/34/d852ae9150af12172f012977df0b5eb3.jpg;;in stock;8400;5000;하늘바이오
r2u_prd2206;[오희숙전통부각] 바삭한 대구껍질 튀각 30g 3봉;부각 장인 오희숙님의 부각은 다른 부각에 비해 더욱 바삭하고 고소합니다.;412;https://st1.random2u.com/api/product/info/2206;https://st1.random2u.com/uploads/2020/10/12/11/38/686c48ee2afc1d7e80c575f902eda31f.jpg;;in stock;8400;5000;하늘바이오
r2u_prd2207;[한국생활건강] 로엘 저분자콜라겐 300;저분자로 깊숙히까지 콜라겐을 채워주는 저분자콜라겐 300입니다;412;https://st1.random2u.com/api/product/info/2207;https://st1.random2u.com/uploads/2020/10/16/17/12/32bf3f6037b023c349a5ae6b6fdf0218.png;;in stock;21920;5000;한국생활건강
r2u_prd2209;[토소웅] 녹차 수분크림;쫀쫀한 녹차 수분크림으로 양이 깡패에요;166;https://st1.random2u.com/api/product/info/2209;https://st1.random2u.com/uploads/2020/10/14/11/11/ea91e6fd505902544a41e2120cfa7b8a.png;;in stock;28000;5000;토소웅
r2u_prd2210;라바 오메가3 구미 5봉;라바와 함께 챙기는 오메가3 상큼한 맛으로 취향도 저격!;412;https://st1.random2u.com/api/product/info/2210;https://st1.random2u.com/uploads/2020/10/16/17/17/ebc47d28dbeb631bad8007ca25c87f12.png;;in stock;10000;5000;왓스업
r2u_prd2213;라바 미네랄 구미 5봉;라바와 함께 챙기는 미네랄 상큼한 맛으로 취향도 저격!;412;https://st1.random2u.com/api/product/info/2213;https://st1.random2u.com/uploads/2020/10/16/17/19/6e5fb74cbc3834e373f21195d0a39a2c.png;;in stock;10000;5000;왓스업
r2u_prd2214;라바 홍삼콜라겐 구미 5봉;라바와 함께 챙기는 콜라겐 홍삼맛이지만 과일맛으로 취향도 겟!;412;https://st1.random2u.com/api/product/info/2214;https://st1.random2u.com/uploads/2020/10/16/17/23/df7a079c316264d8041cce9886c6c79e.png;;in stock;10000;5000;왓스업
r2u_prd2223;[게릴라] 액션캠 PRO-10000;가성비 액션캠이 바로 여기에;604;https://st1.random2u.com/api/product/info/2223;https://st1.random2u.com/uploads/2020/10/22/17/15/04236677c0ed1ff5189ca49e71ee8749.jpg;;in stock;159000;5000;게릴라
r2u_prd2225;[SMODO] 휴대용 무선 칫솔살균기 SMODO-402;매일 쓰는 칫솔 깨끗하게!;604;https://st1.random2u.com/api/product/info/2225;https://st1.random2u.com/uploads/2020/10/22/15/37/7802163ae2fee1357fefbeaf5560803b.jpg;;in stock;30000;5000;명성
r2u_prd2226;[명성] 쿨린 보건 마스크 KF94 (CL-001) 8개입;이거 써봤는데요, 정말 편하고 안전해요!;436;https://st1.random2u.com/api/product/info/2226;https://st1.random2u.com/uploads/2020/10/22/15/40/78c52512b9f23248d19787eb5f11a70b.jpg;;in stock;12000;5000;명성
r2u_prd2229;[티나인] 터보 보풀제거기 TN-3000;매일매일 새 옷 느낌!;604;https://st1.random2u.com/api/product/info/2229;https://st1.random2u.com/uploads/2020/10/15/16/00/e3d632001a2bd20f6f63bd8c8057a200.jpg;;in stock;36300;5000;에이치앤씨스토리
r2u_prd2230;[KISUMBLE] 블루투스 이어폰 키썸블;키썸의 목소리로 내 귀를 채워줘요!;604;https://st1.random2u.com/api/product/info/2230;https://st1.random2u.com/uploads/2020/10/15/15/55/deba718f80f92283faea2c1dfc422329.jpg;;in stock;79000;5000;에이치앤씨스토리
r2u_prd2231;[무로] 발거스본 오리지널;찌뿌둥한 몸, 잘못된 자세, 삐딱한 걸음걸이 하나라도 해당된다면!;436;https://st1.random2u.com/api/product/info/2231;https://st1.random2u.com/uploads/2020/10/12/19/49/5b53cbe8b9c018b67f672d586b36c498.jpg;;in stock;12140;5000;
